id,text,title,labels
doc_965,Does the controller retain ownership of all PII shared with processors?,27701 – Controller Obligations,"privacy compliance, PII processing, governance, documentation"
doc_966,Does the processor process PII only under documented instructions from the controller?,27701 – Processor Obligations,"privacy compliance, PII processing, governance, documentation"
doc_967,Does the processor assist the controller with data subject requests?,27701 – Processor Obligations,"data subject rights, processor compliance, privacy compliance"
doc_968,Does the processor maintain logs of PII processing activities?,27701 – Processor Obligations,"privacy compliance, PII processing, governance, documentation"
doc_969,Does the processor provide adequate security to protect PII?,27701 – Processor Obligations,"privacy compliance, PII processing, governance, documentation"
doc_970,Does the processor notify the controller of any subprocessors?,27701 – Processor Obligations,"privacy compliance, PII processing, governance, documentation"
doc_971,Is PII protected using access controls aligned with privacy risk?,27701 – PII Security Controls,"privacy compliance, PII processing, governance, documentation, PII, privacy risk, data classification, access controls"
doc_972,Are privileged users restricted from unnecessary PII access?,27701 – PII Security Controls,"privacy compliance, PII processing, governance, documentation"
doc_973,Are strong authentication methods required for accessing PII?,27701 – PII Security Controls,"privacy compliance, PII processing, governance, documentation"
doc_974,Are PII processing systems protected with network segmentation?,27701 – PII Security Controls,"privacy compliance, PII processing, governance, documentation"
doc_975,Are PII storage repositories monitored for unauthorized access?,27701 – PII Security Controls,"PII, unauthorized access monitoring, access control, monitoring, unauthorized access"
doc_976,Are PII disclosures limited strictly to what is documented in the contract?,27701 – PII Disclosure Controls,"privacy compliance, PII processing, governance, documentation"
doc_977,Are all disclosures logged and auditable?,27701 – PII Disclosure Controls,"privacy compliance, PII processing, governance, documentation"
doc_978,Does the organization maintain a register of PII disclosures?,27701 – PII Disclosure Controls,"PII governance, privacy compliance"
doc_979,Is onward transfer of PII prohibited without permission?,27701 – PII Disclosure Controls,"privacy compliance, PII processing, governance, documentation"
doc_980,Are government/law-enforcement access requests disclosed to the controller unless prohibited?,27701 – PII Disclosure Controls,"privacy compliance, PII processing, governance, documentation"
doc_981,Are PII transmission paths documented and secured?,27701 – PII Transmission Security,"PII documentation, data flows, privacy compliance"
doc_982,Is encryption enforced for all PII data transfers?,27701 – PII Transmission Security,"privacy compliance, PII processing, governance, documentation"
doc_983,"Are secure transfer mechanisms (TLS, VPN) required?",27701 – PII Transmission Security,"privacy compliance, PII processing, governance, documentation"
doc_984,Are data transfer logs maintained for audit purposes?,27701 – PII Transmission Security,"privacy compliance, PII processing, governance, documentation"
doc_985,Are cross-border transfers validated for legal compliance?,27701 – PII Transmission Security,"privacy compliance, PII processing, governance, documentation"
doc_986,Are procedures in place to verify PII accuracy upon updates?,27701 – Accuracy & Completeness,"PII accuracy, PII correction procedures, data subject correction, PII updates, correction procedures"
doc_987,Are mechanisms available to allow data subjects to correct inaccurate PII?,27701 – Accuracy & Completeness,"PII correction, data subject notification, data subject rights, PII accuracy, PII correction procedures, data subject correction"
doc_988,Does the controller receive notifications when incorrect PII is identified?,27701 – Accuracy & Completeness,"PII notification, controller notification, breach reporting, PII incidents"
doc_989,Are automated validation checks implemented for PII input fields?,27701 – Accuracy & Completeness,"privacy compliance, PII processing, governance, documentation"
doc_990,Are accuracy procedures reviewed for effectiveness?,27701 – Accuracy & Completeness,"PII accuracy, procedure review, effectiveness evaluation, periodic review"
doc_991,Are PII logs protected with integrity controls to prevent tampering?,27701 – PII Logging & Monitoring,"PII, unauthorized access monitoring"
doc_992,Are PII audit logs continuously monitored for suspicious activities?,27701 – PII Logging & Monitoring,"PII logs, audit logs, suspicious activity monitoring, log review, log monitoring, suspicious activity"
doc_993,Are PII logs maintained separately from system logs?,27701 – PII Logging & Monitoring,"PII logs, log monitoring, suspicious activity"
doc_994,Are historical PII logs archived securely?,27701 – PII Logging & Monitoring,"privacy compliance, PII processing, governance, documentation"
doc_995,Are PII logs retained only as long as legally required?,27701 – PII Logging & Monitoring,"PII retention, data minimization, retention duration, legal compliance"
doc_996,Are PII breach response processes documented and tested?,27701 – PII Breach Management Enhancements,"PII, breach response, notification procedures, documentation"
doc_997,Are breach response playbooks specific to PII?,27701 – PII Breach Management Enhancements,"privacy compliance, PII processing, governance, documentation"
doc_998,Does the processor notify the controller immediately upon detecting a PII breach?,27701 – PII Breach Management Enhancements,"PII notification, controller notification, breach reporting"
doc_999,Are roles and responsibilities clearly defined for breach management?,27701 – PII Breach Management Enhancements,"breach management, roles and responsibilities"
doc_1000,Are forensic investigation procedures applied to PII breaches?,27701 – PII Breach Management Enhancements,"privacy compliance, PII processing, governance, documentation"
doc_1001,Are PII retention requirements documented for each processing purpose?,27701 – Advanced Retention & Disposal,"PII, documentation, retention policies, PII processing, legal basis"
doc_1002,Are automated retention schedules applied to PII repositories?,27701 – Advanced Retention & Disposal,"privacy compliance, PII processing, governance, documentation"
doc_1003,Are PII deletion workflows tested regularly?,27701 – Advanced Retention & Disposal,"PII deletion, documented procedures, testing, deletion verification, data deletion, workflows, procedures, documentation"
doc_1004,Are deletion exceptions documented with justification?,27701 – Advanced Retention & Disposal,"privacy compliance, PII processing, governance, documentation"
doc_1005,Are retention logs available to controllers for verification?,27701 – Advanced Retention & Disposal,"PII governance, privacy compliance"
doc_1006,"Are contractual privacy terms aligned with regulatory obligations (e.g., GDPR)?",27701 – Contractual & Legal Alignment,"privacy compliance, PII processing, governance, documentation, regulatory requirements, GDPR alignment"
doc_1007,Do contracts specify controller and processor responsibilities clearly?,27701 – Contractual & Legal Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1008,Do subcontractor agreements replicate controller-processor terms?,27701 – Contractual & Legal Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1009,Are privacy breach notification timelines defined contractually?,27701 – Contractual & Legal Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1010,Are deletion and return of PII covered in all contracts?,27701 – Contractual & Legal Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1011,Are cloud providers assessed for privacy controls relevant to PII?,27701 – Cloud Privacy Management,"privacy compliance, third-party oversight, PII protection, vendor management, third-party assessments"
doc_1012,Are CSP responsibilities documented within shared-responsibility models?,27701 – Cloud Privacy Management,"privacy compliance, PII processing, governance, documentation"
doc_1013,"Are privacy controls applied to cloud storage, logs, and databases?",27701 – Cloud Privacy Management,"privacy compliance, PII processing, governance, documentation"
doc_1014,Are PII-related cloud services monitored for unauthorized access?,27701 – Cloud Privacy Management,"PII, unauthorized access monitoring, access control, monitoring, unauthorized access"
doc_1015,Does the CSP support customer-managed encryption for PII?,27701 – Cloud Privacy Management,"privacy compliance, PII processing, governance, documentation"
doc_1016,Are vendors assessed for compliance with privacy requirements?,27701 – Vendor Privacy Management,"vendor management, privacy compliance, privacy controls, PII protection, third-party assessments"
doc_1017,Are privacy questionnaires used during vendor onboarding?,27701 – Vendor Privacy Management,"vendor management, privacy compliance, PII protection, third-party assessments"
doc_1018,Are vendors required to implement privacy controls?,27701 – Vendor Privacy Management,"vendor management, privacy compliance, privacy controls, PII protection, third-party assessments"
doc_1019,Are third-party privacy risks reviewed periodically?,27701 – Vendor Privacy Management,"privacy compliance, PII processing, governance, documentation, regular reviews, risk assessment"
doc_1020,Are vendors required to notify the controller of privacy incidents?,27701 – Vendor Privacy Management,"privacy compliance, PII processing, governance, documentation"
doc_1021,Is customer ownership of PII protected contractually?,27701 – Customer & Data Subject Rights,"privacy compliance, PII processing, governance, documentation"
doc_1022,Are customers able to request export or migration of their PII?,27701 – Customer & Data Subject Rights,"PII, customer requests, data subject rights"
doc_1023,Are customers able to request deletion of all PII copies?,27701 – Customer & Data Subject Rights,"PII, customer requests, data subject rights"
doc_1024,Are customers informed about processing changes affecting PII?,27701 – Customer & Data Subject Rights,"customer notification, change management, PII processing, privacy compliance, governance, documentation"
doc_1025,Are privacy dashboards available to customers where applicable?,27701 – Customer & Data Subject Rights,"privacy compliance, PII processing, governance, documentation"
doc_1026,Are privacy performance metrics defined and monitored?,27701 – PIMS Monitoring & Performance,"privacy objectives, performance metrics, monitoring, privacy governance, metrics monitoring"
doc_1027,Are KRIs (Key Risk Indicators) defined for privacy risks?,27701 – PIMS Monitoring & Performance,"privacy compliance, PII processing, governance, documentation"
doc_1028,Are privacy KPIs reported to senior management?,27701 – PIMS Monitoring & Performance,"privacy governance, metrics monitoring"
doc_1029,Are privacy nonconformities tracked to closure?,27701 – PIMS Monitoring & Performance,"privacy compliance, PII processing, governance, documentation"
doc_1030,Are privacy processes reviewed following major incidents?,27701 – PIMS Monitoring & Performance,"privacy compliance, PII processing, governance, documentation"
doc_1031,Are anonymization techniques validated for effectiveness?,27701 – Anonymization & Pseudonymization,"anonymization, validation, industry standards"
doc_1032,Are re-identification risks assessed regularly?,27701 – Anonymization & Pseudonymization,"privacy compliance, regular reviews, risk assessment"
doc_1033,Are pseudonymization keys stored securely and separately?,27701 – Anonymization & Pseudonymization,"privacy compliance, PII processing, governance, documentation"
doc_1034,Are anonymization failures treated as privacy incidents?,27701 – Anonymization & Pseudonymization,"privacy compliance, PII processing, governance, documentation"
doc_1035,Are anonymization techniques aligned with industry standards?,27701 – Anonymization & Pseudonymization,"privacy compliance, PII processing, governance, documentation, anonymization, validation, industry standards"
doc_1036,Is PII securely deleted upon contract termination?,27701 – End-of-Contract Processing,"PII, data deletion, secure deletion, backups, contract termination"
doc_1037,Are deletion certificates provided to the controller?,27701 – End-of-Contract Processing,"PII governance, privacy compliance"
doc_1038,"Are all copies of PII (logs, backups, archives) removed at termination?",27701 – End-of-Contract Processing,"PII deletion, data retention, backup removal, PII, data deletion, secure deletion, backups, contract termination"
doc_1039,Are return-or-destruction instructions documented contractually?,27701 – End-of-Contract Processing,"privacy compliance, PII processing, governance, documentation"
doc_1040,Are controllers notified when contract termination processing is completed?,27701 – End-of-Contract Processing,"privacy compliance, PII processing, governance, documentation"
doc_1041,Are privacy considerations included in business continuity planning?,27701 – Privacy Continuity,"privacy compliance, PII processing, governance, documentation"
doc_1042,Are backup processes designed to protect PII during emergencies?,27701 – Privacy Continuity,"privacy compliance, PII processing, governance, documentation"
doc_1043,Are alternative processing locations compliant with privacy laws?,27701 – Privacy Continuity,"privacy compliance, PII processing, governance, documentation, third-party oversight"
doc_1044,Are incident response teams trained in privacy impact handling?,27701 – Privacy Continuity,"privacy compliance, PII processing, governance, documentation"
doc_1045,Are privacy risks reassessed after continuity events?,27701 – Privacy Continuity,"privacy compliance, PII processing, governance, documentation"
doc_1046,Are regulatory updates monitored and applied to the PIMS?,27701 – Regulatory Alignment,"PIMS governance, management review, privacy compliance, PII processing, governance, documentation"
doc_1047,Are privacy controls updated to reflect new legal requirements?,27701 – Regulatory Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1048,Is the organization’s processing mapped to relevant regional laws?,27701 – Regulatory Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1049,Is legal counsel involved in reviewing privacy compliance?,27701 – Regulatory Alignment,"privacy compliance, PII processing, governance, documentation"
doc_1050,Are privacy policies updated following regulatory changes?,27701 – Regulatory Alignment,"privacy policies, policy review, regulatory compliance, privacy notices, periodic review, policy updates, regulatory changes"
